customer_id,satisfaction_score,survey_date,tier,points
C084,1.0,2023-12-01,,
C054,1.0,2023-12-02,Gold,5015.0
C071,1.0,2023-12-03,Platinum,8086.0
C046,9.0,2023-12-04,Silver,1194.0
C045,8.0,2023-12-05,Silver,9295.0
C040,7.0,2023-12-06,,
C023,2.0,2023-12-07,,
C081,4.0,2023-12-08,,
C011,8.0,2023-12-09,,
C001,8.0,2023-12-10,Platinum,4896.0
C019,1.0,2023-12-11,,
C031,7.0,2023-12-12,Gold,932.0
C074,9.0,2023-12-13,,
C034,4.0,2023-12-14,Platinum,810.0
C091,1.0,2023-12-15,Bronze,4806.0
C005,5.0,2023-12-16,Gold,9366.0
C077,8.0,2023-12-17,Gold,3109.0
C078,3.0,2023-12-18,Bronze,8123.0
C013,7.0,2023-12-19,Platinum,3359.0
C032,8.0,2023-12-20,Bronze,7908.0
C056,3.0,2023-12-21,,
C089,6.0,2023-12-22,Silver,801.0
C027,8.0,2023-12-23,Bronze,868.0
C043,2.0,2023-12-24,Gold,7486.0
C070,7.0,2023-12-25,Bronze,6701.0
C016,3.0,2023-12-26,,
C041,3.0,2023-12-27,,
C097,4.0,2023-12-28,,
C010,2.0,2023-12-29,Silver,8849.0
C073,10.0,2023-12-30,Silver,4479.0
C012,5.0,2023-12-31,Silver,1552.0
C048,7.0,2024-01-01,,
C086,4.0,2024-01-02,Platinum,1484.0
C029,8.0,2024-01-03,Bronze,7616.0
C094,8.0,2024-01-04,,
C006,6.0,2024-01-05,Platinum,9623.0
C067,7.0,2024-01-06,,
C066,9.0,2024-01-07,Bronze,7630.0
C036,4.0,2024-01-08,Platinum,1630.0
C017,10.0,2024-01-09,Platinum,9082.0
C050,4.0,2024-01-10,,
C035,6.0,2024-01-11,,
C008,9.0,2024-01-12,,
C096,6.0,2024-01-13,Silver,9804.0
C028,9.0,2024-01-14,,
C020,4.0,2024-01-15,Silver,421.0
C082,4.0,2024-01-16,Silver,3360.0
C026,9.0,2024-01-17,,
C063,3.0,2024-01-18,Platinum,8966.0
C014,3.0,2024-01-19,,
C009,,,Bronze,7045.0
C083,,,Gold,7870.0
C064,,,Gold,4329.0
C051,,,Gold,1145.0
C024,,,Gold,5078.0
C061,,,Platinum,9015.0
C025,,,Platinum,9730.0
C039,,,Gold,2951.0
C057,,,Platinum,3661.0
C076,,,Silver,6617.0
C030,,,Platinum,5621.0
C092,,,Gold,9260.0
C042,,,Gold,4877.0
C022,,,Gold,6023.0
C085,,,Silver,9929.0
C088,,,Bronze,6413.0
C098,,,Bronze,1735.0
C021,,,Silver,6476.0
C090,,,Gold,4880.0
C038,,,Gold,5279.0
C060,,,Platinum,2175.0
C002,,,Gold,7816.0
C075,,,Silver,8245.0
C080,,,Silver,6900.0
C015,,,Silver,7295.0
C055,,,Gold,6283.0
C052,,,Gold,551.0
C007,,,Platinum,4762.0
C099,,,Gold,2023.0
C044,,,Gold,8689.0
